,0
month_of_year_sin,3.528000193162422
return_skew_63d,2.712074694422621
atr,2.6505970390429545
amihud_illiquidity,2.6370385229018196
price_max_63d,2.577232465402567
cs_z_corr_spy,2.5118544149686017
cmf,2.454648620838882
cs_z_beta,2.3920565668722733
cs_z_obv,2.38202697958979
beta_instability_63,2.381098314100671
obv,2.3770121859485482
corr_spy_63d,2.3690256627421262
adx,2.36623966627477
time_from_high_252,2.3560243458944625
market_returns_zscore,2.3467376910032747
price_percentile,2.346366224807627
time_from_low_252,2.2926893595365585
vol_trend_63,2.292317893340911
time_from_low_63,2.1069562617127935
beta_63d,2.066094980191565
volume_skew_21d,2.0504933999743686
volume,1.9947734706272393
return_skew_21d,1.988644278399055
time_from_high_63,1.949083128562593
vov_63,1.929395420193274
mom_1m,1.8996781245414713
cs_z_volatility,1.8305854121510308
market_vol_zscore,1.8186984938903097
mom_12m,1.7384617956304433
trix,1.7109732971525258
dd_speed_21,1.6825561331854897
macd,1.6665830867726459
mdd_63,1.5348983204155964
momentum_63_21d,1.5183680747092814
volatility_63d,1.4884650459596551
volatility_21d,1.47193480025334
vix,1.4437033693841277
cs_rank_mom21d,1.4433319031884801
cs_z_rsi,1.4320021842212305
dist_52w,1.4312592518299354
10yTbill,1.4199295328626858
es95_63,1.4026563547650754
yield_curve_slope,1.3775823865588672
cs_rank_volume_surge,1.3213052579182663
volatility_zscore,1.2784009123209765
trend_strength_63,1.2366109653106294
dsv_63,1.2275100435172648
cs_rank_mom63d,1.1623177261811233
rsi,1.1461589466704556
vol_adj_momentum,1.06499358292147
vix_high,1.0609074547693473
cs_rank_price_percentile,0.9975724684114433
momentum_63d,0.9795563579225381
volume_surge,0.9750987635747678
mom_persistence_63d,0.17941817249775727
