,0
10yTbill,9.48485630621214
yield_curve_slope,7.401205983533066
volatility_63d,6.694801645873867
month_of_year_sin,4.492321838975125
proba_clf_1,4.243461596675216
entropy_clf,3.781499919297098
vix_high,3.367904840752368
js_div,3.3419722235852154
proba_gap_clf,3.300562299243966
non_timeout_clf,3.174673354741829
mlp_pred,3.046838462239011
proba_clf_0,2.8704550040133574
vix,2.727422888494636
proba_clf_-1,2.563702966590208
margin_clf,2.512837357533125
blend_p1,2.4965599869911923
logodds_clf,2.479373472480602
dir_clf,2.429815884658812
model_agreement,2.3782375556721957
non_timeout_mlp,2.3103014914125537
confidence_agreement,2.2710388924833693
dir_mlp,2.2100499903517603
logodds_mlp,2.2033838283126523
margin_mlp,2.136466747327766
clf_pred,2.1343610047790276
proba_mlp_0,2.120408598526921
proba_gap_mlp,2.106487146219258
proba_mlp_1,2.0979214470287246
entropy_mlp,2.051625718587881
volatility_zscore,2.0076633097591805
proba_mlp_-1,1.9316449766463937
confidence_mean,1.6301432610014848
