,0
yield_curve_slope,11.310042787769934
10yTbill,9.826594773965688
margin_mlp,8.550310159287235
proba_clf_1,5.847905693357109
month_of_year_sin,5.485869124970445
proba_clf_0,5.17650435745209
proba_mlp_-1,4.496762644113475
non_timeout_clf,3.9284209075201235
proba_mlp_0,3.7949279509998797
margin_clf,3.6943243764487517
logodds_clf,3.6785361382411343
proba_clf_-1,3.669938243015968
blend_p1,3.6190861914992176
vix_high,3.444100312948012
vix,3.3056699007925543
non_timeout_mlp,3.3016628837973494
confidence_mean,3.0692826975607628
volatility_zscore,3.063752601809635
confidence_agreement,2.9805424577062163
model_agreement,2.857171620817145
proba_mlp_1,2.586964850526284
logodds_mlp,2.3116293254010007
