,importance
adi,0.06040506329113924
return_skew_60d,0.052953586497890295
obv,0.04771729957805907
volatility_zscore,0.04414345991561181
cs_z_volatility,0.043670886075949364
cs_z_obv,0.04229113924050633
volatility_20d,0.041316455696202535
return_skew_20d,0.038168776371308014
market_vol_zscore,0.037350210970464134
kama,0.03442616033755274
log_prices,0.03416877637130802
atr,0.033590717299578056
10yTbill,0.030345991561181434
yield_curve_slope,0.02970042194092827
month_of_year_sin,0.029147679324894513
volume_skew_20d,0.026552742616033756
adx,0.024738396624472574
trix,0.024565400843881858
sma,0.02440506329113924
vix,0.024033755274261603
cs_z_beta,0.02272573839662447
macd,0.021388185654008438
corr_spy_20d,0.021037974683544305
cs_z_corr_spy,0.01870886075949367
beta_20d,0.017860759493670886
amihud_illiquidity,0.017333333333333333
cmf,0.016645569620253164
rsi,0.012316455696202532
volume,0.011974683544303798
cs_z_rsi,0.011443037974683544
mom_persistence_20d,0.011253164556962025
market_returns_zscore,0.009236286919831223
cs_rank_vol_adj_momentum,0.008721518987341772
stoch,0.008573839662447257
returns_20d,0.008379746835443038
vol_adj_momentum,0.0079915611814346
cs_rank_mom20d,0.007637130801687764
price_percentile,0.006371308016877637
spy_returns_5d,0.006172995780590718
roc,0.006088607594936709
bollinger_zscore,0.004789029535864979
cs_rank_mom10d,0.004620253164556962
momentum_10d,0.0045991561181434595
momentum_20_5d,0.0045274261603375525
cs_rank_price_percentile,0.0034008438818565402
cs_rank_volume_surge,0.0013375527426160337
volume_surge,0.001080168776371308
vix_high,9.282700421940928e-05
yc_inversion,0.0
