,importance
vix,0.10602639671846907
volatility_zscore,0.1019500863707873
10yTbill,0.07919426887398738
yield_curve_slope,0.0594404148848582
return_skew_20d,0.048323653330602956
obv,0.04711210931355898
amihud_illiquidity,0.04276250367303402
log_prices,0.0391953682691419
market_vol_zscore,0.03184799567918919
vix_high,0.031241352212249118
corr_spy_20d,0.02913688800960307
cs_z_rsi,0.02908516535098546
stoch,0.0247509834307693
cs_z_corr_spy,0.02062242872567064
adi,0.02031661902017588
vol_adj_momentum,0.01967231102493666
cs_z_obv,0.019332203863480283
mom_persistence_20d,0.019114804187839996
cs_rank_vol_adj_momentum,0.01598983985753188
adx,0.01585563092382804
month_of_year_sin,0.01582701670642191
market_returns_zscore,0.015715718351113146
cs_z_volatility,0.015327637168271386
cmf,0.014529653347274787
return_skew_60d,0.013325830881687595
volume_skew_20d,0.013160790624407361
trix,0.012000003478711156
price_percentile,0.011924298362758178
volume,0.01143341845139747
bollinger_zscore,0.011137818945754104
cs_rank_price_percentile,0.010710438264472849
cs_z_beta,0.00918305481203849
spy_returns_5d,0.008623991171646476
cs_rank_mom10d,0.00838733886206542
cs_rank_mom20d,0.006440860980009273
rsi,0.0052934868282937305
kama,0.0033877486359942693
cs_rank_volume_surge,0.0024427118272437897
volume_surge,0.0023566226621200125
sma,0.0014878664612903033
volatility_20d,0.0013032140028109535
returns_20d,0.001257333758077588
momentum_10d,0.0009970377947797553
atr,0.0006634950722450925
roc,0.000651726185699332
beta_20d,0.0006268320250476405
macd,0.0004384785546609764
momentum_20_5d,0.00025236771551285576
yc_inversion,0.00014218434749500522
